Municipios de 500 habitantes o más,Sexo,Nacionalidad,Nivel de estudios en curso,Periodo,Total
"35016 Palmas de Gran Canaria, Las",Hombres,Española,Total,1-ene-23,148977
"35016 Palmas de Gran Canaria, Las",Hombres,Española,Educación primaria e inferior,1-ene-23,175
"35016 Palmas de Gran Canaria, Las",Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,1075
"35016 Palmas de Gran Canaria, Las",Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,4478
"35016 Palmas de Gran Canaria, Las",Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,2727
"35016 Palmas de Gran Canaria, Las",Hombres,Española,Educación superior,1-ene-23,7808
"35016 Palmas de Gran Canaria, Las",Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,185
"35016 Palmas de Gran Canaria, Las",Hombres,Española,No cursa estudios,1-ene-23,132529
"35016 Palmas de Gran Canaria, Las",Hombres,Extranjera,Total,1-ene-23,13705
"35016 Palmas de Gran Canaria, Las",Hombres,Extranjera,Educación primaria e inferior,1-ene-23,27
"35016 Palmas de Gran Canaria, Las",Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,100
"35016 Palmas de Gran Canaria, Las",Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,264
"35016 Palmas de Gran Canaria, Las",Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,341
"35016 Palmas de Gran Canaria, Las",Hombres,Extranjera,Educación superior,1-ene-23,269
"35016 Palmas de Gran Canaria, Las",Hombres,Extranjera,Cursa estudios pero no hay información sobre los mismos,1-ene-23,93
"35016 Palmas de Gran Canaria, Las",Hombres,Extranjera,No cursa estudios,1-ene-23,12611
35017 Puerto del Rosario,Hombres,Española,Total,1-ene-23,15219
35017 Puerto del Rosario,Hombres,Española,Educación primaria e inferior,1-ene-23,6
35017 Puerto del Rosario,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,144
35017 Puerto del Rosario,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,590
35017 Puerto del Rosario,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,326
35017 Puerto del Rosario,Hombres,Española,Educación superior,1-ene-23,759
35017 Puerto del Rosario,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,36
35017 Puerto del Rosario,Hombres,Española,No cursa estudios,1-ene-23,13358
35017 Puerto del Rosario,Hombres,Extranjera,Total,1-ene-23,3377
35017 Puerto del Rosario,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,8
35017 Puerto del Rosario,Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,31
35017 Puerto del Rosario,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,72
35017 Puerto del Rosario,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,60
35017 Puerto del Rosario,Hombres,Extranjera,Educación superior,1-ene-23,49
35017 Puerto del Rosario,Hombres,Extranjera,Cursa estudios pero no hay información sobre los mismos,1-ene-23,13
35017 Puerto del Rosario,Hombres,Extranjera,No cursa estudios,1-ene-23,3144
35018 San Bartolomé,Hombres,Española,Total,1-ene-23,7147
35018 San Bartolomé,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,77
35018 San Bartolomé,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,258
35018 San Bartolomé,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,157
35018 San Bartolomé,Hombres,Española,Educación superior,1-ene-23,403
35018 San Bartolomé,Hombres,Española,No cursa estudios,1-ene-23,6247
35018 San Bartolomé,Hombres,Extranjera,Total,1-ene-23,1234
35018 San Bartolomé,Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,6
35018 San Bartolomé,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,12
35018 San Bartolomé,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,11
35018 San Bartolomé,Hombres,Extranjera,Educación superior,1-ene-23,10
35018 San Bartolomé,Hombres,Extranjera,No cursa estudios,1-ene-23,1190
35019 San Bartolomé de Tirajana,Hombres,Española,Total,1-ene-23,18182
35019 San Bartolomé de Tirajana,Hombres,Española,Educación primaria e inferior,1-ene-23,15
35019 San Bartolomé de Tirajana,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,101
35019 San Bartolomé de Tirajana,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,426
35019 San Bartolomé de Tirajana,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,331
35019 San Bartolomé de Tirajana,Hombres,Española,Educación superior,1-ene-23,574
35019 San Bartolomé de Tirajana,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,25
35019 San Bartolomé de Tirajana,Hombres,Española,No cursa estudios,1-ene-23,16710
35019 San Bartolomé de Tirajana,Hombres,Extranjera,Total,1-ene-23,7533
35019 San Bartolomé de Tirajana,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,59
35019 San Bartolomé de Tirajana,Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,39
35019 San Bartolomé de Tirajana,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,126
35019 San Bartolomé de Tirajana,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,138
35019 San Bartolomé de Tirajana,Hombres,Extranjera,Educación superior,1-ene-23,66
35019 San Bartolomé de Tirajana,Hombres,Extranjera,Cursa estudios pero no hay información sobre los mismos,1-ene-23,33
35019 San Bartolomé de Tirajana,Hombres,Extranjera,No cursa estudios,1-ene-23,7072
"35020 Aldea de San Nicolás, La",Hombres,Española,Total,1-ene-23,3120
"35020 Aldea de San Nicolás, La",Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,25
"35020 Aldea de San Nicolás, La",Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,68
"35020 Aldea de San Nicolás, La",Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,71
"35020 Aldea de San Nicolás, La",Hombres,Española,Educación superior,1-ene-23,103
"35020 Aldea de San Nicolás, La",Hombres,Española,No cursa estudios,1-ene-23,2850
"35020 Aldea de San Nicolás, La",Hombres,Extranjera,Total,1-ene-23,390
"35020 Aldea de San Nicolás, La",Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,11
"35020 Aldea de San Nicolás, La",Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,21
"35020 Aldea de San Nicolás, La",Hombres,Extranjera,No cursa estudios,1-ene-23,347
35021 Santa Brígida,Hombres,Española,Total,1-ene-23,7854
35021 Santa Brígida,Hombres,Española,Educación primaria e inferior,1-ene-23,17
35021 Santa Brígida,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,22
35021 Santa Brígida,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,270
35021 Santa Brígida,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,118
35021 Santa Brígida,Hombres,Española,Educación superior,1-ene-23,493
35021 Santa Brígida,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,5
35021 Santa Brígida,Hombres,Española,No cursa estudios,1-ene-23,6929
35021 Santa Brígida,Hombres,Extranjera,Total,1-ene-23,383
35021 Santa Brígida,Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,11
35021 Santa Brígida,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,12
35021 Santa Brígida,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,17
35021 Santa Brígida,Hombres,Extranjera,Educación superior,1-ene-23,6
35021 Santa Brígida,Hombres,Extranjera,No cursa estudios,1-ene-23,335
35022 Santa Lucía de Tirajana,Hombres,Española,Total,1-ene-23,27851
35022 Santa Lucía de Tirajana,Hombres,Española,Educación primaria e inferior,1-ene-23,33
35022 Santa Lucía de Tirajana,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,241
35022 Santa Lucía de Tirajana,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,1031
35022 Santa Lucía de Tirajana,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,631
35022 Santa Lucía de Tirajana,Hombres,Española,Educación superior,1-ene-23,1153
35022 Santa Lucía de Tirajana,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,36
35022 Santa Lucía de Tirajana,Hombres,Española,No cursa estudios,1-ene-23,24726
35022 Santa Lucía de Tirajana,Hombres,Extranjera,Total,1-ene-23,4690
35022 Santa Lucía de Tirajana,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,18
35022 Santa Lucía de Tirajana,Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,35
35022 Santa Lucía de Tirajana,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,97
35022 Santa Lucía de Tirajana,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,80
35022 Santa Lucía de Tirajana,Hombres,Extranjera,Educación superior,1-ene-23,53
35022 Santa Lucía de Tirajana,Hombres,Extranjera,Cursa estudios pero no hay información sobre los mismos,1-ene-23,21
35022 Santa Lucía de Tirajana,Hombres,Extranjera,No cursa estudios,1-ene-23,4386
35023 Santa María de Guía de Gran Canaria,Hombres,Española,Total,1-ene-23,6027
35023 Santa María de Guía de Gran Canaria,Hombres,Española,Educación primaria e inferior,1-ene-23,19
35023 Santa María de Guía de Gran Canaria,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,48
35023 Santa María de Guía de Gran Canaria,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,173
35023 Santa María de Guía de Gran Canaria,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,131
35023 Santa María de Guía de Gran Canaria,Hombres,Española,Educación superior,1-ene-23,293
35023 Santa María de Guía de Gran Canaria,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,10
35023 Santa María de Guía de Gran Canaria,Hombres,Española,No cursa estudios,1-ene-23,5353
35023 Santa María de Guía de Gran Canaria,Hombres,Extranjera,Total,1-ene-23,239
35023 Santa María de Guía de Gran Canaria,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,8
35023 Santa María de Guía de Gran Canaria,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,5
35023 Santa María de Guía de Gran Canaria,Hombres,Extranjera,Educación superior,1-ene-23,5
35023 Santa María de Guía de Gran Canaria,Hombres,Extranjera,No cursa estudios,1-ene-23,216
35024 Teguise,Hombres,Española,Total,1-ene-23,8187
35024 Teguise,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,41
35024 Teguise,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,306
35024 Teguise,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,151
35024 Teguise,Hombres,Española,Educación superior,1-ene-23,509
35024 Teguise,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,9
35024 Teguise,Hombres,Española,No cursa estudios,1-ene-23,7171
35024 Teguise,Hombres,Extranjera,Total,1-ene-23,2094
35024 Teguise,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,35
35024 Teguise,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,18
35024 Teguise,Hombres,Extranjera,Educación superior,1-ene-23,26
35024 Teguise,Hombres,Extranjera,No cursa estudios,1-ene-23,2008
35025 Tejeda,Hombres,Española,Total,1-ene-23,936
35025 Tejeda,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,7
35025 Tejeda,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,10
35025 Tejeda,Hombres,Española,Educación superior,1-ene-23,29
35025 Tejeda,Hombres,Española,No cursa estudios,1-ene-23,883
35025 Tejeda,Hombres,Extranjera,Total,1-ene-23,18
35025 Tejeda,Hombres,Extranjera,No cursa estudios,1-ene-23,17
35026 Telde,Hombres,Española,Total,1-ene-23,42817
35026 Telde,Hombres,Española,Educación primaria e inferior,1-ene-23,48
35026 Telde,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,463
35026 Telde,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,1325
35026 Telde,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,853
35026 Telde,Hombres,Española,Educación superior,1-ene-23,1942
35026 Telde,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,45
35026 Telde,Hombres,Española,No cursa estudios,1-ene-23,38141
35026 Telde,Hombres,Extranjera,Total,1-ene-23,1596
35026 Telde,Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,12
35026 Telde,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,24
35026 Telde,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,52
35026 Telde,Hombres,Extranjera,Educación superior,1-ene-23,22
35026 Telde,Hombres,Extranjera,Cursa estudios pero no hay información sobre los mismos,1-ene-23,18
35026 Telde,Hombres,Extranjera,No cursa estudios,1-ene-23,1468
35027 Teror,Hombres,Española,Total,1-ene-23,5702
35027 Teror,Hombres,Española,Educación primaria e inferior,1-ene-23,11
35027 Teror,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,63
35027 Teror,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,167
35027 Teror,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,114
35027 Teror,Hombres,Española,Educación superior,1-ene-23,270
35027 Teror,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,13
35027 Teror,Hombres,Española,No cursa estudios,1-ene-23,5064
35027 Teror,Hombres,Extranjera,Total,1-ene-23,142
35027 Teror,Hombres,Extranjera,No cursa estudios,1-ene-23,136
35028 Tías,Hombres,Española,Total,1-ene-23,5678
35028 Tías,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,47
35028 Tías,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,172
35028 Tías,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,73
35028 Tías,Hombres,Española,Educación superior,1-ene-23,229
35028 Tías,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,5
35028 Tías,Hombres,Española,No cursa estudios,1-ene-23,5152
35028 Tías,Hombres,Extranjera,Total,1-ene-23,3803
35028 Tías,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,6
35028 Tías,Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,10
35028 Tías,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,47
35028 Tías,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,12
35028 Tías,Hombres,Extranjera,Educación superior,1-ene-23,15
35028 Tías,Hombres,Extranjera,Cursa estudios pero no hay información sobre los mismos,1-ene-23,9
35028 Tías,Hombres,Extranjera,No cursa estudios,1-ene-23,3704
35029 Tinajo,Hombres,Española,Total,1-ene-23,2524
35029 Tinajo,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,24
35029 Tinajo,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,97
35029 Tinajo,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,35
35029 Tinajo,Hombres,Española,Educación superior,1-ene-23,118
35029 Tinajo,Hombres,Española,No cursa estudios,1-ene-23,2247
35029 Tinajo,Hombres,Extranjera,Total,1-ene-23,417
35029 Tinajo,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,14
35029 Tinajo,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,5
35029 Tinajo,Hombres,Extranjera,No cursa estudios,1-ene-23,391
35030 Tuineje,Hombres,Española,Total,1-ene-23,5600
35030 Tuineje,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,55
35030 Tuineje,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,202
35030 Tuineje,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,128
35030 Tuineje,Hombres,Española,Educación superior,1-ene-23,221
35030 Tuineje,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,8
35030 Tuineje,Hombres,Española,No cursa estudios,1-ene-23,4983
35030 Tuineje,Hombres,Extranjera,Total,1-ene-23,1397
35030 Tuineje,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,29
35030 Tuineje,Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,5
35030 Tuineje,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,18
35030 Tuineje,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,15
35030 Tuineje,Hombres,Extranjera,Educación superior,1-ene-23,11
35030 Tuineje,Hombres,Extranjera,Cursa estudios pero no hay información sobre los mismos,1-ene-23,15
35030 Tuineje,Hombres,Extranjera,No cursa estudios,1-ene-23,1304
35031 Valsequillo de Gran Canaria,Hombres,Española,Total,1-ene-23,4096
35031 Valsequillo de Gran Canaria,Hombres,Española,Educación primaria e inferior,1-ene-23,5
35031 Valsequillo de Gran Canaria,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,30
35031 Valsequillo de Gran Canaria,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,131
35031 Valsequillo de Gran Canaria,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,74
35031 Valsequillo de Gran Canaria,Hombres,Española,Educación superior,1-ene-23,210
35031 Valsequillo de Gran Canaria,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,5
35031 Valsequillo de Gran Canaria,Hombres,Española,No cursa estudios,1-ene-23,3641
35031 Valsequillo de Gran Canaria,Hombres,Extranjera,Total,1-ene-23,190
35031 Valsequillo de Gran Canaria,Hombres,Extranjera,No cursa estudios,1-ene-23,178
35032 Valleseco,Hombres,Española,Total,1-ene-23,1790
35032 Valleseco,Hombres,Española,Educación primaria e inferior,1-ene-23,9
35032 Valleseco,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,10
35032 Valleseco,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,36
35032 Valleseco,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,25
35032 Valleseco,Hombres,Española,Educación superior,1-ene-23,59
35032 Valleseco,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,5
35032 Valleseco,Hombres,Española,No cursa estudios,1-ene-23,1646
35032 Valleseco,Hombres,Extranjera,Total,1-ene-23,39
35032 Valleseco,Hombres,Extranjera,No cursa estudios,1-ene-23,37
35033 Vega de San Mateo,Hombres,Española,Total,1-ene-23,3467
35033 Vega de San Mateo,Hombres,Española,Educación primaria e inferior,1-ene-23,16
35033 Vega de San Mateo,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,21
35033 Vega de San Mateo,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,74
35033 Vega de San Mateo,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,57
35033 Vega de San Mateo,Hombres,Española,Educación superior,1-ene-23,153
35033 Vega de San Mateo,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,5
35033 Vega de San Mateo,Hombres,Española,No cursa estudios,1-ene-23,3141
35033 Vega de San Mateo,Hombres,Extranjera,Total,1-ene-23,129
35033 Vega de San Mateo,Hombres,Extranjera,No cursa estudios,1-ene-23,119
35034 Yaiza,Hombres,Española,Total,1-ene-23,4688
35034 Yaiza,Hombres,Española,Educación primaria e inferior,1-ene-23,5
35034 Yaiza,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,44
35034 Yaiza,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,146
35034 Yaiza,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,57
35034 Yaiza,Hombres,Española,Educación superior,1-ene-23,154
35034 Yaiza,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,13
35034 Yaiza,Hombres,Española,No cursa estudios,1-ene-23,4269
35034 Yaiza,Hombres,Extranjera,Total,1-ene-23,2951
35034 Yaiza,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,6
35034 Yaiza,Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,19
35034 Yaiza,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,40
35034 Yaiza,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,8
35034 Yaiza,Hombres,Extranjera,Educación superior,1-ene-23,19
35034 Yaiza,Hombres,Extranjera,Cursa estudios pero no hay información sobre los mismos,1-ene-23,7
35034 Yaiza,Hombres,Extranjera,No cursa estudios,1-ene-23,2852
38001 Adeje,Hombres,Española,Total,1-ene-23,11366
38001 Adeje,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,79
38001 Adeje,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,405
38001 Adeje,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,169
38001 Adeje,Hombres,Española,Educación superior,1-ene-23,442
38001 Adeje,Hombres,Española,Cursa estudios pero no hay información sobre los mismos,1-ene-23,27
38001 Adeje,Hombres,Española,No cursa estudios,1-ene-23,10242
38001 Adeje,Hombres,Extranjera,Total,1-ene-23,10612
38001 Adeje,Hombres,Extranjera,Primera etapa de Educación Secundaria y similar,1-ene-23,32
38001 Adeje,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,176
38001 Adeje,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,66
38001 Adeje,Hombres,Extranjera,Educación superior,1-ene-23,92
38001 Adeje,Hombres,Extranjera,Cursa estudios pero no hay información sobre los mismos,1-ene-23,35
38001 Adeje,Hombres,Extranjera,No cursa estudios,1-ene-23,10210
38002 Agulo,Hombres,Española,Total,1-ene-23,499
38002 Agulo,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,9
38002 Agulo,Hombres,Española,Educación superior,1-ene-23,19
38002 Agulo,Hombres,Española,No cursa estudios,1-ene-23,461
38002 Agulo,Hombres,Extranjera,Total,1-ene-23,30
38002 Agulo,Hombres,Extranjera,No cursa estudios,1-ene-23,28
38003 Alajeró,Hombres,Española,Total,1-ene-23,855
38003 Alajeró,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,6
38003 Alajeró,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,22
38003 Alajeró,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,9
38003 Alajeró,Hombres,Española,Educación superior,1-ene-23,35
38003 Alajeró,Hombres,Española,No cursa estudios,1-ene-23,783
38003 Alajeró,Hombres,Extranjera,Total,1-ene-23,134
38003 Alajeró,Hombres,Extranjera,No cursa estudios,1-ene-23,128
38004 Arafo,Hombres,Española,Total,1-ene-23,2363
38004 Arafo,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,25
38004 Arafo,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,64
38004 Arafo,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,57
38004 Arafo,Hombres,Española,Educación superior,1-ene-23,102
38004 Arafo,Hombres,Española,No cursa estudios,1-ene-23,2108
38004 Arafo,Hombres,Extranjera,Total,1-ene-23,149
38004 Arafo,Hombres,Extranjera,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,8
38004 Arafo,Hombres,Extranjera,No cursa estudios,1-ene-23,132
38005 Arico,Hombres,Española,Total,1-ene-23,3323
38005 Arico,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,20
38005 Arico,Hombres,Española,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,75
38005 Arico,Hombres,Española,"Segunda etapa de Educación Secundaria, con orientación profesional (con y sin continuidad en la educación superior); Educación postsecundaria no superior",1-ene-23,68
38005 Arico,Hombres,Española,Educación superior,1-ene-23,109
38005 Arico,Hombres,Española,No cursa estudios,1-ene-23,3046
38005 Arico,Hombres,Extranjera,Total,1-ene-23,821
38005 Arico,Hombres,Extranjera,"Segunda etapa de educación secundaria, con orientación general",1-ene-23,8
38005 Arico,Hombres,Extranjera,Cursa estudios pero no hay información sobre los mismos,1-ene-23,5
38005 Arico,Hombres,Extranjera,No cursa estudios,1-ene-23,797
38006 Arona,Hombres,Española,Total,1-ene-23,22740
38006 Arona,Hombres,Española,Educación primaria e inferior,1-ene-23,10
38006 Arona,Hombres,Española,Primera etapa de Educación Secundaria y similar,1-ene-23,171
